编号,姓名,性别,年龄,绩点,出勤1,出勤2,出勤3,出勤4,出勤5,出勤6,出勤7,出勤8,出勤9,出勤10,出勤11,出勤12,出勤13,出勤14,出勤15,出勤16,出勤17,出勤18,出勤19,出勤20
1,马瑞希,女,20,3.9808834418327796,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,钱环,女,22,3.933425653204427,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,柳琴晓,女,21,3.9273861245100448,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,东方梦婕,女,21,3.916808087655501,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,沈韵瑾,女,20,3.912644133861005,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,彭鹏,男,22,3.8562539228951804,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,凤霞亚,女,21,3.855416565880246,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,戚器晨,男,22,3.8202286303760937,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,韩策功,男,21,3.8141327992796765,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,孔琦璧,女,22,3.8128366996010863,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
11,葛静舒,女,21,3.768215686108447,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,韦瑗红,女,20,3.7435937455098913,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
13,李才乐,男,21,3.723495326604192,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,任诚歌,男,22,3.71298058291267,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
15,施鸣,男,22,3.70687992157752,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,何娥柔,女,20,3.675314259827161,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
